Unique.code,Date,Time,Species,Count,Comments,Map.cross.ref
VP9_JG_CS_211016_CO8,21/10/2016,12:00,DB,710,East of marker,NA
VP9_JG_CS_211016_CO9,21/10/2016,12:00,DB,58,West of marker,NA
VP6_DS_211016_CO1,21/10/2016,07:45,BH,15,Roosting  (D) - Map1,NA
VP6_DS_211016_CO2,21/10/2016,07:45,BW,3,Roosting  (D) - Map1,NA
VP6_DS_211016_CO3,21/10/2016,07:45,CU,4,Roosting  (D) - Map1,NA
VP6_DS_211016_CO4,21/10/2016,07:45,DB,18,Foraging/Close,NA
VP6_DS_211016_CO5,21/10/2016,07:45,GV,4,Roosting  (D) - Map1,NA
VP6_DS_211016_CO6,21/10/2016,07:45,RK,11,Roosting  (D) - Map1,NA
VP6_DS_211016_CO7,21/10/2016,07:45,SU,8,Foraging/Close,NA
VP6_DS_211016_CO8,21/10/2016,07:45,T.,4,Roosting  (D) - Map1,NA
VP6_DS_211016_CO9,21/10/2016,07:45,DB,33,Foraging Distantly (C ) - Map1,NA
VP6_DS_211016_CO10,21/10/2016,08:05,DB,12,Foraging (E ) - Map1,NA
VP6_DS_211016_CO11,21/10/2016,08:15,T,5,Feeding in bay/Northney Marina (F),NA
VP6_DS_211016_CO12,21/10/2016,08:45,DB,140,Foraging at (A) - Map2,NA
VP6_DS_211016_CO13,21/10/2016,08:45,SU,10,Foraging at (A) - Map2,NA
VP6_DS_211016_CO14,21/10/2016,08:45,T,33,Foraging at (A) - Map2,NA
VP6_DS_211016_CO15,21/10/2016,08:45,DB,90,Foraging at (B) - Map2,NA
VP6_DS_211016_CO16,21/10/2016,08:53,BW,3,Feeding at (D ),NA
VP6_DS_211016_CO17,21/10/2016,08:53,CU,1,Feeding at (D ),NA
VP6_DS_211016_CO18,21/10/2016,08:53,GV,7,Feeding at (D ),NA
VP6_DS_211016_CO19,21/10/2016,08:53,RK,13,Feeding at (D ),NA
VP6_DS_211016_CO20,21/10/2016,09:00,BH,65,Foraging at ( E ) - Map2,NA
VP6_DS_211016_CO21,21/10/2016,09:00,GB,3,Foraging at ( E ) - Map2,NA
VP6_DS_211016_CO22,21/10/2016,09:00,HG,1,Foraging at ( E ) - Map2,NA
VP6_DS_211016_CO23,21/10/2016,09:00,T,23,Foraging at ( E ) - Map2,NA
VP6_DS_211016_CO24,21/10/2016,09:00,CU,2,Foraging at (F ) - Map2,NA
VP6_DS_211016_CO25,21/10/2016,09:00,DB,42,Foraging at (F ) - Map2,NA
VP6_DS_211016_CO26,21/10/2016,09:00,OC,7,Foraging at (F ) - Map2,NA
VP6_DS_211016_CO27,21/10/2016,09:00,SU,2,Foraging at (F ) - Map2,NA
VP6_DS_211016_CO28,21/10/2016,09:45,CU,1,Feeding at (B) - Map3,NA
VP6_DS_211016_CO29,21/10/2016,09:45,DB,165,Feeding at (B) - Map3,NA
VP6_DS_211016_CO30,21/10/2016,09:45,SU,10,Feeding at (B) - Map3,NA
VP6_DS_211016_CO31,21/10/2016,09:45,T,2,Feeding at (B) - Map3 - Majority may have moved in to marina harbour,NA
VP6_DS_211016_CO32,21/10/2016,09:45,BW,2,Feeding at (A),NA
VP6_DS_211016_CO33,21/10/2016,09:45,CU,2,Feeding at (A),NA
VP6_DS_211016_CO34,21/10/2016,09:45,GV,4,Feeding at (A),NA
VP6_DS_211016_CO35,21/10/2016,09:45,RK,16,Feeding at (A),NA
VP6_DS_211016_CO36,21/10/2016,09:45,BW,1,Feeding at (E ),NA
VP6_DS_211016_CO37,21/10/2016,09:45,CU,4,Feeding at (E ),NA
VP6_DS_211016_CO38,21/10/2016,09:45,GV,2,Feeding at (E ),NA
VP6_DS_211016_CO39,21/10/2016,09:45,OC,6,Feeding at (E ),NA
VP6_DS_211016_CO40,21/10/2016,10:10,BW,3,Feeding in channel at (F),NA
VP6_DS_211016_CO41,21/10/2016,10:10,CU,7,Feeding in channel at (F),NA
VP6_DS_211016_CO42,21/10/2016,10:10,DB,110,Feeding in channel at (F),NA
VP6_DS_211016_CO43,21/10/2016,10:10,GV,5,Feeding in channel at (F),NA
VP6_DS_211016_CO44,21/10/2016,10:10,MS,2,Feeding in channel at (F),NA
VP6_DS_211016_CO45,21/10/2016,10:10,RK,7,Feeding in channel at (F),NA
VP6_DS_211016_CO46,21/10/2016,10:10,SU,3,Feeding in channel at (F),NA
VP6_DS_211016_CO47,21/10/2016,10:15,BH,60,Roost/+Foraging at (G),NA
VP6_DS_211016_CO48,21/10/2016,10:15,GB,1,Roost/+Foraging at (G),NA
VP6_DS_211016_CO49,21/10/2016,10:15,HG,14,Roost/+Foraging at (G),NA
VP6_DS_211016_CO50,21/10/2016,10:20,BW,15,Feeding at (A),NA
VP6_DS_211016_CO51,21/10/2016,10:20,CU,3,Feeding at (H),NA
VP6_DS_211016_CO52,21/10/2016,10:20,GV,3,Feeding at (A),NA
VP6_DS_211016_CO53,21/10/2016,10:20,RK,3,Feeding at (A),NA
VP6_DS_211016_CO54,21/10/2016,10:45,BW,6,Feeding at (A),NA
VP6_DS_211016_CO55,21/10/2016,10:45,CU,3,Feeding at (A),NA
VP6_DS_211016_CO56,21/10/2016,10:45,GV,3,Feeding at (A),NA
VP6_DS_211016_CO57,21/10/2016,10:45,OC,1,Feeding at (A),NA
VP6_DS_211016_CO58,21/10/2016,10:45,RK,13,Feeding at (A),NA
VP6_DS_211016_CO59,21/10/2016,10:45,CU,1,Feeding at (B),NA
VP6_DS_211016_CO60,21/10/2016,10:45,RK,7,Feeding at (B),NA
VP6_DS_211016_CO61,21/10/2016,10:45,SU,10,Feeding at (B),NA
VP6_DS_211016_CO62,21/10/2016,10:45,DB,6,Feeding at (D),NA
VP6_DS_211016_CO63,21/10/2016,10:45,DB,160,Feeding at (E ),NA
VP6_DS_211016_CO64,21/10/2016,10:45,BH,50,Feeding/Roosting at (F ),NA
VP6_DS_211016_CO65,21/10/2016,10:45,CU,4,Feeding/Roosting at (F ),NA
VP6_DS_211016_CO66,21/10/2016,10:45,GB,1,Feeding/Roosting at (F ),NA
VP6_DS_211016_CO67,21/10/2016,10:45,GV,1,Feeding/Roosting at (F ),NA
VP6_DS_211016_CO68,21/10/2016,10:45,HG,18,Feeding/Roosting at (F ),NA
VP6_DS_211016_CO69,21/10/2016,10:45,RK,4,Feeding/Roosting at (F ),NA
VP6_DS_211016_CO70,21/10/2016,10:55,BW,11,Feeding at (C ),NA
VP6_DS_211016_CO71,21/10/2016,10:55,CU,1,Feeding at (C ),NA
VP6_DS_211016_CO72,21/10/2016,10:55,ET,1,Feeding at (C ),NA
VP6_DS_211016_CO73,21/10/2016,10:55,GV,1,Feeding at (C ),NA
VP6_DS_211016_CO74,21/10/2016,10:55,OC,4,Feeding at (C ),NA
VP6_DS_211016_CO75,21/10/2016,10:55,RK,6,Feeding at (C ),NA
VP6_DS_211016_CO76,21/10/2016,11:00,CU,1,Feeding at (G),NA
VP6_DS_211016_CO77,21/10/2016,11:00,OC,4,Feeding at (G),NA
VP6_DS_211016_CO78,21/10/2016,11:00,RK,2,Feeding at (G),NA
VP6_DS_211016_CO79,21/10/2016,11:45,CU,1,Feeding at (B),NA
VP6_DS_211016_CO80,21/10/2016,11:45,RK,1,Feeding at (B),NA
VP6_DS_211016_CO81,21/10/2016,11:45,SU,1,Feeding at (B),NA
VP6_DS_211016_CO82,21/10/2016,11:45,BW,8,Feeding at (A),NA
VP6_DS_211016_CO83,21/10/2016,11:45,CU,5,Feeding at (A),NA
VP6_DS_211016_CO84,21/10/2016,11:45,GV,5,Feeding at (A),NA
VP6_DS_211016_CO85,21/10/2016,11:45,L,1,Feeding at (A),NA
VP6_DS_211016_CO86,21/10/2016,11:45,OC,4,Feeding at (A),NA
VP6_DS_211016_CO87,21/10/2016,11:45,RK,6,Feeding at (A),NA
VP6_DS_211016_CO88,21/10/2016,11:45,DB,230,Feeding at waters edge at (D),NA
VP6_DS_211016_CO89,21/10/2016,11:45,CU,1,Feeding at (E ),NA
VP6_DS_211016_CO90,21/10/2016,11:45,DB,8,Feeding at (E ),NA
VP6_DS_211016_CO91,21/10/2016,12:00,L,250,About this number at F - Roosting and Feeding,NA
VP6_DS_211016_CO92,21/10/2016,12:00,OC,12,,NA
VP6_DS_211016_CO93,21/10/2016,12:00,BW,5,Feeding at (C ),NA
VP6_DS_211016_CO94,21/10/2016,12:00,CU,2,Feeding at (C ),NA
VP6_DS_211016_CO95,21/10/2016,12:00,GV,2,Feeding at (C ),NA
VP6_DS_211016_CO96,21/10/2016,12:00,OC,7,Feeding at (C ),NA
VP6_DS_211016_CO97,21/10/2016,12:00,RK,6,Feeding at (C ),NA
VP13_CL_211016_CO1,21/10/2016,07:34,DB,62,Feeding on edge of water,NA
VP13_CL_211016_CO2,21/10/2016,07:34,OC,68,Feeding,NA
VP13_CL_211016_CO3,21/10/2016,07:34,RK,17,Feeding,NA
VP13_CL_211016_CO4,21/10/2016,07:34,WN,4,,NA
VP13_CL_211016_CO5,21/10/2016,07:34,CU,50,,NA
VP13_CL_211016_CO6,21/10/2016,07:34,DB,113,Feeding,NA
VP13_CL_211016_CO7,21/10/2016,07:34,ET,12,,NA
VP13_CL_211016_CO8,21/10/2016,07:34,OC,53,,NA
VP13_CL_211016_CO9,21/10/2016,08:05,CU,20,,NA
VP13_CL_211016_CO10,21/10/2016,08:05,DB,60,,NA
VP13_CL_211016_CO11,21/10/2016,08:05,RK,50,,NA
VP13_CL_211016_CO12,21/10/2016,08:05,WN,120,,NA
VP13_CL_211016_CO13,21/10/2016,08:38,DB,71,,NA
VP13_CL_211016_CO14,21/10/2016,08:38,DN,300,,NA
VP13_CL_211016_CO15,21/10/2016,08:38,GV,70,,NA
VP13_CL_211016_CO16,21/10/2016,08:38,OC,60,"mostly adults, three bait diggers on site, higher numbers than count one - individuals/groups arriving from harbour and feeding on edge of water.",NA
VP13_CL_211016_CO17,21/10/2016,08:38,RK,80,,NA
VP13_CL_211016_CO18,21/10/2016,08:38,SV,10,,NA
VP13_CL_211016_CO19,21/10/2016,08:38,DB,390,,NA
VP13_CL_211016_CO20,21/10/2016,08:38,DN,200,,NA
VP13_CL_211016_CO21,21/10/2016,08:38,OC,30,,NA
VP13_CL_211016_CO22,21/10/2016,08:38,RK,90,,NA
VP13_CL_211016_CO23,21/10/2016,08:38,RK,500,,NA
VP13_CL_211016_CO24,21/10/2016,08:38,DN,400,,NA
VP13_CL_211016_CO25,21/10/2016,09:38,CU,10,,NA
VP13_CL_211016_CO26,21/10/2016,09:38,DB,238,"Localised disturbance around site, 5 bait diggers, no movement off situ",NA
VP13_CL_211016_CO27,21/10/2016,09:38,DN,200,,NA
VP13_CL_211016_CO28,21/10/2016,09:38,GV,20,,NA
VP13_CL_211016_CO29,21/10/2016,09:38,MS,5,,NA
VP13_CL_211016_CO30,21/10/2016,09:38,OC,100,,NA
VP13_CL_211016_CO31,21/10/2016,09:38,RK,110,,NA
VP13_CL_211016_CO32,21/10/2016,09:47,CU,30,,NA
VP13_CL_211016_CO33,21/10/2016,09:47,DB,330,,NA
VP13_CL_211016_CO34,21/10/2016,09:47,OC,50,,NA
VP13_CL_211016_CO35,21/10/2016,09:47,BW,20,,NA
VP13_CL_211016_CO36,21/10/2016,09:47,DN,350,,NA
VP13_CL_211016_CO37,21/10/2016,09:47,ET,20,,NA
VP13_CL_211016_CO38,21/10/2016,09:47,OC,90,,NA
VP13_CL_211016_CO39,21/10/2016,09:47,DB,120,,NA
VP13_CL_211016_CO40,21/10/2016,09:47,WN,100,,NA
VP13_CL_211016_CO41,21/10/2016,10:34,CU,10,,NA
VP13_CL_211016_CO42,21/10/2016,10:34,DB,300,5 bait diggers - countinued localised disturbance,NA
VP13_CL_211016_CO43,21/10/2016,10:34,GV,5,,NA
VP13_CL_211016_CO44,21/10/2016,10:34,OC,62,,NA
VP13_CL_211016_CO45,21/10/2016,10:34,DB,240,,NA
VP13_CL_211016_CO46,21/10/2016,10:34,OC,50,,NA
VP13_CL_211016_CO47,21/10/2016,10:34,RK,50,,NA
VP13_CL_211016_CO48,21/10/2016,10:34,DB,80,,NA
VP13_CL_211016_CO49,21/10/2016,10:34,DN,400,,NA
VP13_CL_211016_CO50,21/10/2016,10:34,RK,200,,NA
VP13_CL_211016_CO51,21/10/2016,10:34,DB,200,,NA
VP13_CL_211016_CO52,21/10/2016,11:30,DB,280,,NA
VP13_CL_211016_CO53,21/10/2016,11:30,OC,40,Tide starting to move in - all birds still on waters edge - bait diggers off site.,NA
VP13_CL_211016_CO54,21/10/2016,11:30,RK,100,,NA
VP13_CL_211016_CO55,21/10/2016,11:30,WN,50,,NA
VP13_CL_211016_CO56,21/10/2016,11:30,CU,30,,NA
VP13_CL_211016_CO57,21/10/2016,11:30,DB,100,,NA
VP13_CL_211016_CO58,21/10/2016,11:30,CU,50,,NA
VP13_CL_211016_CO59,21/10/2016,11:30,DN,400,,NA
VP13_CL_211016_CO60,21/10/2016,11:30,OC,50,,NA
VP13_CL_211016_CO61,21/10/2016,11:30,RK,200,,NA
VP13_CL_211016_CO62,21/10/2016,11:30,DB,400,,NA
VP13_CL_211016_CO63,21/10/2016,11:30,WN,200,,NA
VP16_RL_31102016_CO1,31/10/2016,11:25,DB,97,16 juvs,NA
VP16_RL_31102016_CO2,31/10/2016,11:32,DB,11,11 adults flew in from the N,NA
VP16_RL_31102016_CO3,31/10/2016,11:36,DB,108,Flushed by B2 - flew NE to N end of harbour,NA
VP16_RL_31102016_CO4,31/10/2016,11:38,DB,239,Resting on water and feeding on P73 additional to the 108 from P11,NA
VP16_RL_31102016_CO5,31/10/2016,11:40,CU,17,Roosting on P73,NA
VP16_RL_31102016_CO6,31/10/2016,11:40,ET,13,Roosting on P73,NA
VP16_RL_31102016_CO7,31/10/2016,11:40,OC,72,Roosting on P73,NA
VP16_RL_31102016_CO8,31/10/2016,11:40,SU,33,Roosting on water between P73 and N end of harbour,NA
,31/10/2016,12:10,None,0,"Golf course, no birds present",P12
,31/10/2016,12:15,None,0,"Golf course, no birds present",P19A
,31/10/2016,12:15,None,0,"Golf course, no birds present",P19B
VP16_RL_31102016_CO9,31/10/2016,12:28,DB,0,Flushed by kestrel - landed on water immediately adjacent to site,NA
VP16_RL_31102016_CO10,31/10/2016,12:38,DN,900,,NA
VP16_RL_31102016_CO11,31/10/2016,12:38,GV,17,Flew into Farlington Lagoon area,NA
VP16_RL_31102016_CO12,31/10/2016,12:45,ET,8,,NA
VP16_RL_31102016_CO13,31/10/2016,12:48,CU,21,Roosting on P73,NA
VP16_RL_31102016_CO14,31/10/2016,12:48,OC,123,Roosting on P73,NA
VP16_RL_31102016_CO15,31/10/2016,13:05,DB,308,Birds gradually drifting S/SE mixture of resting and feeding birds,NA
,31/10/2016,13:20,None,0,No birds present of gold course,P12
VP16_RL_31102016_CO16,31/10/2016,13:30,DB,205,,NA
VP16_RL_31102016_CO17,31/10/2016,13:40,DB,4,Exposed grasses,NA
VP16_RL_31102016_CO18,31/10/2016,14:00,DN,1,Moving SE from Island off VP16 to H72,NA
VP16_RL_31102016_CO18,31/10/2016,14:00,GV,1,Moving SE from Island off VP16 to H72,NA
VP16_RL_31102016_CO19,31/10/2016,14:00,SU,26,Drifting SE on the water and feeding on exposed edges,NA
VP16_RL_31102016_CO20,31/10/2016,14:10,WN,6,on saltmarsh off 16b,NA
VP10_LM_31102016_CO1,31/10/2016,11:37,DB,85,"Too distant for aging. Geese rafted on water - mainly roosting, some feeding in shallows close to nearly finished sea defence works. Dog off lead near by.",NA
VP10_LM_31102016_CO2,31/10/2016,11:39,DB,110,Too distant for ageing. Rafted in water.,NA
VP10_LM_31102016_CO3,31/10/2016,11:40,TT,150,Roosting on several moored boats. 150 birds likely an undercount due to visual obstructions,NA
VP10_LM_31102016_CO4,31/10/2016,12:00,DB,150,,NA
VP10_LM_31102016_CO5,31/10/2016,12:00,MS,2,,NA
VP10_LM_31102016_CO6,31/10/2016,14:00,DB,87,Geese much more spread out and active than during previous snapshots - Many feeding and preening. None roosting.,NA
VP10_LM_31102016_CO7,31/10/2016,14:02,DB,150,Geese more active as above.,NA
VP10_LM_31102016_CO8,31/10/2016,14:05,TT,250,Higher number visible following Hobby disturbance. Some preening but majority still roosting.,NA
VP10_LM_31102016_CO9,31/10/2016,15:14,RK,20,Feeding ,NA
VP10_LM_31102016_CO10,31/10/2016,15:14,DB,150,,NA
VP10_LM_31102016_CO11,31/10/2016,15:17,TT,150,Roosting/preening,NA
VP10_LM_31102016_CO12,31/10/2016,15:17,DB,100,,NA
VP10_LM_31102016_CO13,31/10/2016,16:02,DB,50,Feeding on mudflats,NA
VP10_LM_31102016_CO14,31/10/2016,16:05,HG,20,In hatched area. Feeding.,NA
VP10_LM_31102016_CO15,31/10/2016,16:08,BW,10,mudflats,NA
VP10_LM_31102016_CO16,31/10/2016,16:08,TT,50,mudflats,NA
VP10_LM_31102016_CO17,31/10/2016,16:08,RK,10,mudflats,NA
VP10_LM_31102016_CO18,31/10/2016,16:10,DB,150,feeding/preening,NA
VP10_LM_31102016_CO19,31/10/2016,16:10,TT,50,feeding/preening,NA
VP10_LM_31102016_CO20,31/10/2016,16:10,RK,20,feeding/preening,NA
VP10_LM_31102016_CO21,31/10/2016,16:12,DB,150,foraging on freshly exposed intertidal,NA
VP10_LM_31102016_CO22,31/10/2016,16:12,DN,300,"flying in flock, origin unknown",NA
VP10_LM_31102016_CO23,31/10/2016,11:57,TT,150,50 flew as a result of disturbance but returned to original location,NA
VP10_LM_31102016_CO24,31/10/2016,12:37,TT,150,quickly resettled to original location once yacht had passed,NA
VP10_LM_31102016_CO25,31/10/2016,13:24,TT,150,A HOBBY flew overhead. ,NA
VP10_LM_31102016_CO26,31/10/2016,15:32,TT,150,,NA
VP19_ARJ_31102016_CO1,31/10/2016,11:20,DB,350,COncrete platform,SA1
VP19_ARJ_31102016_CO2,31/10/2016,11:20,TT,21,COncrete platform,SA1
VP19_ARJ_31102016_CO3,31/10/2016,11:20,RK,7,COncrete platform,SA1
VP19_ARJ_31102016_CO4,31/10/2016,11:20,OC,1,COncrete platform,SA1
VP19_ARJ_31102016_CO5,31/10/2016,11:20,SU,2,Roosting on shoreline,SA1
VP19_ARJ_31102016_CO6,31/10/2016,11:20,OC,100,"Boat in harbour, roosting",SA1
VP19_ARJ_31102016_CO7,31/10/2016,11:20,T.,8,,SA1
VP19_ARJ_31102016_CO8,31/10/2016,12:05,DB,350,,SA1
VP19_ARJ_31102016_CO9,31/10/2016,12:05,TT,21,,SA1
VP19_ARJ_31102016_CO10,31/10/2016,12:05,RK,7,,SA1
VP19_ARJ_31102016_CO11,31/10/2016,12:05,T.,7,,SA1
VP19_ARJ_31102016_CO12,31/10/2016,12:05,SU,2,,SA1
VP19_ARJ_31102016_CO13,31/10/2016,12:05,OC,100,,SA1
VP19_ARJ_31102016_CO14,31/10/2016,12:05,OC,1,,SA1
VP19_ARJ_31102016_CO15,31/10/2016,13:10,DB,350,"Roosting in harbour, most in middle",SA1
VP19_ARJ_31102016_CO16,31/10/2016,13:10,TT,12,,SA1
VP19_ARJ_31102016_CO17,31/10/2016,13:10,RK,3,,SA1
VP19_ARJ_31102016_CO18,31/10/2016,13:10,SU,2,,SA1
VP19_ARJ_31102016_CO19,31/10/2016,13:10,T.,8,,SA1
VP19_ARJ_31102016_CO20,31/10/2016,13:00,DB,15,Forton's Lake,SB1
VP19_ARJ_31102016_CO21,31/10/2016,13:00,RK,59,,
VP19_ARJ_31102016_CO22,31/10/2016,13:00,OC,3,,
VP19_ARJ_31102016_CO23,31/10/2016,13:00,DB,7,Harbour,
VP16_GJ_31102016_CO5,31/10/16,15:30,DB,25,Feeding on mudflats,A
VP16_GJ_31102016_CO6,31/10/16,15:30,OC,16,Feeding on mudflats,A
VP16_GJ_31102016_CO7,31/10/16,15:30,CU,7,Feeding on mudflats,A
VP16_GJ_31102016_CO8,31/10/16,15:30,ET,5,Feeding on mudflats,A
P12,31/10/16,15:48,None,0,NO BIRDS,P12
P19A,31/10/16,15:50,None,0,NO BIRDS,P19A
P19B,31/10/16,15:50,None,0,NO BIRDS,P19B
VP16_GJ_31102016_CO1,31/10/16,14:05,DB,306,,P83
VP16_GJ_31102016_CO2,31/10/16,14:05,T.,16,16 juv seen amongst roosting birds on water,P83
P52,31/10/16,14:15,None,0,NO BIRDS,P52
P198,31/10/16,14:20,None,0,NO BIRDS,P198
VP16_GJ_31102016_CO3,31/10/16,14:40,DB,54,DX (W) - walked away,P11
VP16_GJ_31102016_CO4,31/10/16,14:50,DB,54,DX + amenity grass (F) - Flew East onto water,P11
P55,31/10/16,15:10,None,0,NO BIRDS,P55
P11,31/10/16,15:30,None,0,NO BIRDS,P11
